name,slug,location,rate,beds,baths,area,propertyType,status
"22 Acre Dry Land For Sale In Kallambedu","22-acre-dry-land-kallambedu","Kallambedu to Poovanur road, Tamil Nadu","1.25 L per Cent",0,0,22,"land","In Process"
"6 Acre Wet Land For Sale In Kallambedu","6-acre-wet-land-kallambedu","Kallambedu to Koovam road, Tamil Nadu","60K per Cent",0,0,6,"land","In Process"
"3.74 Acre Dry Land For Sale In Narasamangalam","3-74-acre-dry-land-narasamangalam","Narasamangalam, Tamil Nadu","5 L per Cent",0,0,3.74,"land","In Process"
"5.8 Acre Dry Land For Sale In Govindamedu","5-8-acre-dry-land-govindamedu","Govindamedu, Tamil Nadu","2.50 L per Cent",0,0,5.8,"land","In Process"
"5.98 Acre Dry Land For Sale In Cheyyambakkam","5-98-acre-dry-land-cheyyambakkam","Cheyyambakkam, Tamil Nadu","1.85 L per Cent",0,0,5.98,"land","In Process"
"1.66 Acre Dry Land For Sale In Katrambakkam","1-66-acre-dry-land-katrambakkam","Katrambakkam, Irunkatukottai, Tamil Nadu","19 Cr Total",0,0,1.66,"land","In Process"
"3.75 Acre Dry Land For Sale In Koppur","3-75-acre-dry-land-koppur","Koppur, Paparambakkam, Tamil Nadu","5 Cr per Acre",0,0,3.75,"land","In Process"
"55 Acre Dry Land For Sale In Mampakkam","55-acre-dry-land-mampakkam","Mampakkam, Sriperumbudur, Tamil Nadu","3 Cr per Acre",0,0,55,"land","In Process"
"2 Acre Dry Land For Sale In Sunguvarchatram","2-acre-dry-land-sunguvarchatram","Sunguvarchatram, Tamil Nadu","10 Cr Total",0,0,2,"land","In Process"
"1.25 Acre Dry Land For Sale In Puzhal","1-25-acre-dry-land-puzhal","Puzhal, Tamil Nadu","17 Cr Total",0,0,1.25,"land","In Process"
"2 Acre Dry Land For Sale In Pappanguzhi","2-acre-dry-land-pappanguzhi","Pappanguzhi (Sunguvarchatram blr by pass), Tamil Nadu","2.5 L per Cent",0,0,2,"land","In Process"
"170 Acre Dry Land For Sale In Panappakkam","170-acre-dry-land-panappakkam","Panappakkam, Tamil Nadu","1 L per Cent",0,0,170,"land","In Process"
